ValuationDate,IndustryName,GrossFinancialDebt,AssetBeta,Debt-to-EquityRatio,SizePremium
31/12/2023,Real Estate (General/Diversified),515.8,0.45,0.3188,0.0118
31/12/2023,Publishing & Newspapers,224.4,0.77,0.3248,0.0244
31/12/2023,Apparel,151.2,0.87,0.4876,0.0637
31/12/2023,Household Products,178.2,0.75,0.1656,0.0215
31/12/2023,Business & Consumer Services,86.3,0.9,0.1794,0.0465
31/12/2023,Utility (General),319.6,0.35,0.8484,0.0637
31/12/2023,Real Estate (Operations & Services),268.6,0.81,0.4457,0.0465
31/12/2023,Machinery,289.7,0.91,0.1686,0.0118
31/12/2023,Insurance (Prop/Cas.),132.1,0.64,0.1938,0.0244
31/12/2023,Electronics (General),476.5,0.83,0.172,0.0118
31/12/2023,Banks (Regional),347.2,0.26,1.0195,0.0637
31/12/2023,Packaging & Container,1579,0.78,0.6126,0.0118
31/12/2023,Environmental & Waste Services,203.5,0.78,0.2195,0.0215
31/12/2023,Investments & Asset Management,518.7,0.35,0.4034,0.0215
31/12/2023,Semiconductor,124.5,1.43,0.0605,0.0118
31/12/2023,Retail (REITs),971,0.78,0.5884,0.0118
31/12/2023,Semiconductor Equip,131,1.44,0.0778,0.0118
31/12/2023,Shipbuilding & Marine,171.4,0.66,0.2977,0.0465
31/12/2023,Auto Parts,123.9,1.04,0.3844,0.0637
31/12/2023,Brokerage & Investment Banking,256.6,0.42,2.2606,0.1099
31/12/2023,Chemical (Specialty),742.7,0.91,0.2682,0.0118
31/12/2023,Telecom. Services,756.8,0.41,1.2491,0.0465
31/12/2023,Retail (Grocery and Food),603.5,0.35,0.5584,0.0215
31/12/2023,Air Transport,1677.6,0.57,1.6215,0.0215
31/12/2023,Coal & Related Energy,475.4,1.09,0.2254,0.0118
31/12/2023,Homebuilding,236.1,1.22,0.1642,0.0118
31/12/2023,Oil/Gas (Production and Exploration),638.2,0.79,0.2328,0.0118
31/12/2023,Oil/Gas (Integrated),90.2,0.61,0.125,0.0244
31/12/2023,Transportation (Railroads),10,0.85,0.2681,0.1099
31/12/2023,Office Equipment & Services,1293.8,0.82,0.5257,0.0118
31/12/2023,Tobacco,241.7,0.97,0.349,0.0244
31/12/2023,Oilfield Svcs/Equip.,290.9,0.79,0.3214,0.0215
31/12/2023,Oil/Gas Distribution,463.3,0.52,0.7022,0.0244
31/12/2023,Construction Supplies,34.6,0.95,0.247,0.1099
31/12/2023,Reinsurance,625,0.5,0.4254,0.0118
31/12/2023,Drugs (Biotechnology),57.5,1,0.1639,0.0637
31/12/2023,Telecom (Wireless),340.7,0.73,0.6416,0.0465
31/12/2023,Retail (Automotive),127.1,1.04,0.5751,0.1099
31/12/2023,Retail (Building Supply),260.2,1.69,0.1992,0.0215
31/12/2023,Heathcare Information and Technology,2.4,1.14,0.1607,0.1099
31/12/2023,Precious Metals,141.5,0.78,0.1521,0.0215
31/12/2023,Computer Services,407.2,0.82,0.2914,0.0118
31/12/2023,Healthcare Products,72.3,0.97,0.1266,0.0465
31/12/2023,Furn/Home Furnishings,363.8,0.82,0.4755,0.0244
31/12/2023,Engineering/Construction,140.9,0.8,0.262,0.0465
